                     1 -8.175672767800100E-002
                     2 -5.703744552555408E-002
                     3 -4.135005980851016E-002
                     4 -2.656671594500295E-002
                     5 -7.455149785129982E-003
                     6  1.637208805050333E-002
                     7  4.465203849145234E-002
                     8  7.723562238082127E-002
                     9  0.114038551374834     
                    10  0.155007652721266     
                    11  0.200105705626064     
                    12  0.249304322212416     
                    13  0.302580403611640     
                    14  0.359914272119790     
                    15  0.421288655584891     
                    16  0.486688146261331     
                    17  0.556098931476726     
                    18  0.629508665238796     
                    19  0.706906392283202     
                    20  0.788282472740030     
                    21  0.873628487023760     
                    22  0.962937122291398     
                    23   1.05620205161476     
                    24   1.15341781741627     
                    25   1.25457972613762     
                    26   1.35968375592821     
                    27   1.46872647579892     
                    28   1.58170497371821     
                    29   1.69861679175029     
                    30   1.81945986750527     
                    31   1.94423248203724     
                    32   2.07293321467940     
                    33   2.20556090511600     
                    34   2.34211462257182     
                    35   2.48259364158867     
                    36   2.62699742351166     
                    37   2.77532560264536     
                    38   2.92757797597252     
                    39   3.08375449537476     
                    40   3.24385526136069     
                    41   3.40788051743994     
                    42   3.57583064439719     
                    43   3.74770615391690     
                    44   3.92350768116376     
                    45   4.10323597604751     
                    46   4.28689189314237     
                    47   4.47447638027753     
                    48   4.66599046597808     
                    49   4.86143524601904     
                    50   5.06081186937553     
                    51   5.26412152393003     
                    52   5.47136542226922     
                    53   5.68254478790251     
                    54   5.89766084221746     
                    55   6.11671479240898     
                    56   6.33970782061485     
                    57   6.56664107438765     
                    58   6.79751565861631     
                    59   7.03233262892609     
                    60   7.27109298655833     
                    61   7.51379767466558     
                    62   7.76044757594878     
                    63   8.01104351150180     
                    64   8.26558624074959     
                    65   8.52407646230331     
                    66   8.78651481560310     
                    67   9.05290188317625     
                    68   9.32323819337219     
                    69   9.59752422342628     
                    70   9.87576040273469     
                    71   10.1579471162141     
                    72   10.4440847076663     
                    73   10.7341734830485     
                    74   11.0282137135991     
                    75   11.3262056387594     
                    76   11.6281494688573     
                    77   11.9340453875336     
                    78   12.2438935539016     
                    79   12.5576941044221     
                    80   12.8754471545275     
                    81   13.1971527999885     
                    82   13.5228111180436     
                    83   13.8524221683287     
                    84   14.1859859936131     
                    85   14.5235026203851     
                    86   14.8649720593001     
                    87   15.2103943055287     
                    88   15.5597693390213     
                    89   15.9130971247278     
                    90   16.2703776127671     
                    91   16.6316107385943     
                    92   16.9967964231648     
                    93   17.3659345731125     
                    94   17.7390250809564     
                    95   18.1160678253387     
                    96   18.4970626713069     
                    97   18.8820094706370     
                    98   19.2709080622016     
                    99   19.6637582723886     
                   100   20.0605599155577     
