     1     0     0  -1.1180245714E+003
     2     0     0  -1.7831149563E+002
     3     0     0  -3.7261364306E+001
     4     0     0  -7.2637414592E+000
     5     0     0  -1.3484398018E+000
     1     1     0  -1.7490435432E+002
     1     1     1  -1.7490435432E+002
     2     1     0  -3.4046415895E+001
     2     1     1  -3.4046415895E+001
     3     1     0  -5.9269550563E+000
     3     1     1  -5.9269550563E+000
     4     1     0  -9.9175720739E-001
     4     1     1  -9.9175720739E-001
     1     2     0  -2.5121514484E+001
     1     2     1  -2.5121514484E+001
     1     2     2  -2.5121514484E+001
     2     2     0  -3.0544650683E+000
     2     2     1  -3.0544650683E+000
     2     2     2  -3.0544650683E+000
     1     3     0  -2.4512166872E-001
     1     4     0  -8.1756727678E-002
     1     5     0  -5.5643005004E-002
