 0.101318E-01  0.26990E-006  0.25340E-006  0.28020E-006 
 0.102539E-01  0.27976E-006  0.26226E-006  0.29066E-006 
 0.103760E-01  0.28987E-006  0.27131E-006  0.30138E-006 
 0.104980E-01  0.30022E-006  0.28054E-006  0.31237E-006 
 0.106201E-01  0.31081E-006  0.28997E-006  0.32363E-006 
 0.107422E-01  0.32164E-006  0.29959E-006  0.33516E-006 
 0.108643E-01  0.33273E-006  0.30940E-006  0.34697E-006 
 0.109863E-01  0.34406E-006  0.31941E-006  0.35906E-006 
 0.111084E-01  0.35565E-006  0.32961E-006  0.37144E-006 
 0.112305E-01  0.36750E-006  0.34001E-006  0.38410E-006 
 0.113525E-01  0.37961E-006  0.35060E-006  0.39706E-006 
 0.114746E-01  0.39198E-006  0.36139E-006  0.41031E-006 
 0.115967E-01  0.40461E-006  0.37238E-006  0.42387E-006 
 0.117187E-01  0.41752E-006  0.38357E-006  0.43772E-006 
 0.118408E-01  0.43069E-006  0.39496E-006  0.45189E-006 
 0.119629E-01  0.44414E-006  0.40654E-006  0.46636E-006 
 0.120850E-01  0.45787E-006  0.41833E-006  0.48115E-006 
 0.122070E-01  0.47187E-006  0.43032E-006  0.49626E-006 
 0.123291E-01  0.48616E-006  0.44251E-006  0.51170E-006 
 0.124512E-01  0.50074E-006  0.45490E-006  0.52745E-006 
 0.125732E-01  0.51560E-006  0.46750E-006  0.54354E-006 
 0.126953E-01  0.53075E-006  0.48029E-006  0.55996E-006 
 0.128174E-01  0.54620E-006  0.49329E-006  0.57672E-006 
 0.129395E-01  0.56194E-006  0.50649E-006  0.59383E-006 
 0.130615E-01  0.57798E-006  0.51990E-006  0.61127E-006 
 0.131836E-01  0.59432E-006  0.53351E-006  0.62907E-006 
 0.133057E-01  0.61097E-006  0.54732E-006  0.64722E-006 
 0.134277E-01  0.62793E-006  0.56134E-006  0.66573E-006 
 0.135498E-01  0.64520E-006  0.57556E-006  0.68460E-006 
 0.136719E-01  0.66278E-006  0.58998E-006  0.70383E-006 
 0.137939E-01  0.68067E-006  0.60461E-006  0.72343E-006 
 0.139160E-01  0.69889E-006  0.61944E-006  0.74341E-006 
 0.140381E-01  0.71743E-006  0.63447E-006  0.76376E-006 
 0.141602E-01  0.73629E-006  0.64971E-006  0.78450E-006 
 0.142822E-01  0.75548E-006  0.66515E-006  0.80562E-006 
 0.144043E-01  0.77500E-006  0.68079E-006  0.82712E-006 
 0.145264E-01  0.79485E-006  0.69664E-006  0.84903E-006 
 0.146484E-01  0.81503E-006  0.71268E-006  0.87133E-006 
 0.147705E-01  0.83556E-006  0.72893E-006  0.89403E-006 
 0.148926E-01  0.85643E-006  0.74538E-006  0.91713E-006 
 0.150146E-01  0.87764E-006  0.76202E-006  0.94065E-006 
 0.151367E-01  0.89920E-006  0.77887E-006  0.96458E-006 
 0.152588E-01  0.92110E-006  0.79592E-006  0.98892E-006 
 0.153809E-01  0.94336E-006  0.81316E-006  0.10137E-005 
 0.155029E-01  0.96598E-006  0.83060E-006  0.10389E-005 
 0.156250E-01  0.98895E-006  0.84824E-006  0.10645E-005 
 0.157471E-01  0.10123E-005  0.86607E-006  0.10906E-005 
 0.158691E-01  0.10360E-005  0.88410E-006  0.11171E-005 
 0.159912E-01  0.10600E-005  0.90232E-006  0.11440E-005 
 0.161133E-01  0.10845E-005  0.92073E-006  0.11714E-005 
 0.162354E-01  0.11093E-005  0.93933E-006  0.11992E-005 
 0.163574E-01  0.11345E-005  0.95813E-006  0.12275E-005 
 0.164795E-01  0.11600E-005  0.97711E-006  0.12563E-005 
 0.166016E-01  0.11860E-005  0.99628E-006  0.12855E-005 
 0.167236E-01  0.12123E-005  0.10156E-005  0.13152E-005 
 0.168457E-01  0.12390E-005  0.10352E-005  0.13454E-005 
 0.169678E-01  0.12661E-005  0.10549E-005  0.13760E-005 
 0.170898E-01  0.12936E-005  0.10748E-005  0.14071E-005 
 0.172119E-01  0.13214E-005  0.10949E-005  0.14387E-005 
 0.173340E-01  0.13497E-005  0.11152E-005  0.14708E-005 
 0.174561E-01  0.13784E-005  0.11356E-005  0.15034E-005 
 0.175781E-01  0.14075E-005  0.11562E-005  0.15365E-005 
 0.177002E-01  0.14370E-005  0.11770E-005  0.15701E-005 
 0.178223E-01  0.14669E-005  0.11980E-005  0.16042E-005 
 0.179443E-01  0.14972E-005  0.12191E-005  0.16388E-005 
 0.180664E-01  0.15279E-005  0.12404E-005  0.16739E-005 
 0.181885E-01  0.15590E-005  0.12619E-005  0.17095E-005 
 0.183105E-01  0.15906E-005  0.12835E-005  0.17457E-005 
 0.184326E-01  0.16225E-005  0.13053E-005  0.17824E-005 
 0.185547E-01  0.16549E-005  0.13273E-005  0.18197E-005 
 0.186768E-01  0.16878E-005  0.13494E-005  0.18574E-005 
 0.187988E-01  0.17210E-005  0.13717E-005  0.18958E-005 
 0.189209E-01  0.17547E-005  0.13941E-005  0.19346E-005 
 0.190430E-01  0.17888E-005  0.14167E-005  0.19740E-005 
 0.191650E-01  0.18234E-005  0.14394E-005  0.20140E-005 
 0.192871E-01  0.18584E-005  0.14623E-005  0.20545E-005 
 0.194092E-01  0.18938E-005  0.14853E-005  0.20957E-005 
 0.195312E-01  0.19297E-005  0.15084E-005  0.21373E-005 
 0.196533E-01  0.19661E-005  0.15317E-005  0.21796E-005 
 0.197754E-01  0.20029E-005  0.15551E-005  0.22224E-005 
 0.198975E-01  0.20401E-005  0.15787E-005  0.22658E-005 
 0.200195E-01  0.20779E-005  0.16024E-005  0.23098E-005 
 0.201416E-01  0.21160E-005  0.16262E-005  0.23544E-005 
 0.202637E-01  0.21547E-005  0.16501E-005  0.23996E-005 
 0.203857E-01  0.21938E-005  0.16742E-005  0.24454E-005 
 0.205078E-01  0.22333E-005  0.16984E-005  0.24918E-005 
 0.206299E-01  0.22734E-005  0.17227E-005  0.25388E-005 
 0.207520E-01  0.23139E-005  0.17471E-005  0.25865E-005 
 0.208740E-01  0.23549E-005  0.17716E-005  0.26347E-005 
 0.209961E-01  0.23963E-005  0.17962E-005  0.26836E-005 
 0.211182E-01  0.24383E-005  0.18209E-005  0.27331E-005 
 0.212402E-01  0.24807E-005  0.18457E-005  0.27833E-005 
 0.213623E-01  0.25237E-005  0.18706E-005  0.28341E-005 
 0.214844E-01  0.25671E-005  0.18956E-005  0.28855E-005 
 0.216064E-01  0.26110E-005  0.19207E-005  0.29376E-005 
 0.217285E-01  0.26554E-005  0.19458E-005  0.29904E-005 
 0.218506E-01  0.27003E-005  0.19711E-005  0.30438E-005 
 0.219727E-01  0.27457E-005  0.19964E-005  0.30978E-005 
 0.220947E-01  0.27916E-005  0.20218E-005  0.31526E-005 
 0.222168E-01  0.28381E-005  0.20472E-005  0.32080E-005 
 0.223389E-01  0.28850E-005  0.20727E-005  0.32641E-005 
 0.224609E-01  0.29324E-005  0.20983E-005  0.33209E-005 
 0.225830E-01  0.29804E-005  0.21240E-005  0.33783E-005 
 0.227051E-01  0.30289E-005  0.21496E-005  0.34365E-005 
